source_id,evidence_layer,analysis_tier,design_tier,schedule_id,cost_scenario,cost_scope,comparison,comparison_role,analysis_tiers,cell_count,negative_median_cells,zero_median_cells,positive_median_cells,minimum_cell_median,maximum_cell_median,maximum_worst_observed_relative_shortfall,inference_status
deterministic-primary-v1,deterministic,exploratory,,,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,exploratory,3,0,0,3,0.0978078058773013291100386574746584712641985325978263465276072,0.227543285686637703711457623299521635234626708018391205199629,0,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,regression,,,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,regression,9,0,3,6,0,0.0511560569201954748014036296312243008761921164237586746489988,0,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,regression,,,fixed-1-usd,net of fixed costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,regression,9,6,3,0,-0.0510714796429082143367857653571939286225000510714767974972057,0,0.0510714796429082143367857653571939286225000510714767974972057,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,regression,,,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,regression,9,1,0,8,-0.00231382902811474240045668617097188525759954331382574560744977,0.0253308874513527003893779974841770189279822503741460107898549,0.00231382902811474240045668617097188525759954331382574560744977,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,regression,,,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,regression,9,0,3,6,0,0.0511048194759674610673594757577148366176473186293710870289633,0,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,regression,,,proportional-10bps,net of proportional costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,regression,9,6,0,3,-0.0508214285714285714285714285714285714285714285714257260204047,0.000187487509368753124996881240637484393728149971906215662460936,0.0508214285714285714285714285714285714285714285714257260204047,empirical net performance; outside current safety theorem; no confirmatory inference
historical-confirmatory-v1,historical,robustness,,,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,robustness,18,18,0,0,-0.045978008717910220517823639523926543721556929493336641778246,-0.00335322568344849028513997024550794786798989683346622341255558,0.189791633630933924160984941671150311055267561216045339464838,empirical net performance; outside current safety theorem; no confirmatory inference
historical-confirmatory-v1,historical,robustness,,,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,robustness,18,17,0,1,-0.0054588609804676561984274532543030876796143588842000778913494,0.000515681468132743531526311860579843088093513307860372810921185,0.0693647037220407011533275617973775673793701219763932353589908,empirical net performance; outside current safety theorem; no confirmatory inference
historical-confirmatory-v1,historical,robustness,,,fixed-1-usd,net of fixed costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,robustness,18,18,0,0,-0.043691544961272192338559960109230639268340080324359125630569,-0.00340125729043991498259727459068583250054901528698458532116532,0.135827560574970518029688017673914463530905030587150643171247,empirical net performance; outside current safety theorem; no confirmatory inference
historical-confirmatory-v1,historical,robustness,,,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,robustness,18,18,0,0,-0.0459210685436290306826909659017470780539389096993014291058521,-0.00330275565532403104440795031664554292948919959972157847457782,0.189572969851425512208752899075507928592248302448642876014475,empirical net performance; outside current safety theorem; no confirmatory inference
historical-confirmatory-v1,historical,robustness,,,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,robustness,18,17,0,1,-0.0054437558483801359631179283613952192343154167567729192782504,0.000525089062803762524037169508611557079506786451684475613625795,0.069259321719365316936792031963890850285035211181420901760322,empirical net performance; outside current safety theorem; no confirmatory inference
historical-confirmatory-v1,historical,robustness,,,proportional-10bps,net of proportional costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,robustness,18,18,0,0,-0.0436456830938997658446932881804716781924124089686609878642594,-0.00335296308741979718643222668975162845933007812058919288537836,0.13568086811903104609478007979573861681784647645704402530852,empirical net performance; outside current safety theorem; no confirmatory inference
historical-registered-robustness-v1,historical,robustness,primary,primary-monthly-robustness-coverage,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,robustness,30,30,0,0,-0.048182002937792598009626683846407997832334706606147341094465,-0.000335322568344849028513997024550794786798989683346622341261784,0.202433156161325214242592709398256304668477518006936282832895,empirical net performance; outside current safety theorem; no confirmatory inference
historical-registered-robustness-v1,historical,robustness,primary,primary-monthly-robustness-coverage,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,robustness,30,30,0,0,-0.00584149331066500987023964971755901552843354721320551788462595,-0.00000243451920591121883598582741510581810272160309849491121132525,0.0705536564585582870011241949382693950000930053290575415352792,empirical net performance; outside current safety theorem; no confirmatory inference
historical-registered-robustness-v1,historical,robustness,primary,primary-monthly-robustness-coverage,fixed-1-usd,net of fixed costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,robustness,30,30,0,0,-0.0472636958782010263478153764409444781316162451629921298104218,-0.000340125729043991498259727459068583250054901528698458532123502,0.150126675226513069790264878885858155539928304121635633741785,empirical net performance; outside current safety theorem; no confirmatory inference
historical-registered-robustness-v1,historical,robustness,primary,primary-monthly-robustness-coverage,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,robustness,30,30,0,0,-0.0480540400180176050100618338541427765719899553632764136938772,-0.000330275565532403104440795031664554292948919959972157847464008,0.202171752674685122424931528443766257181516283463819220655795,empirical net performance; outside current safety theorem; no confirmatory inference
historical-registered-robustness-v1,historical,robustness,primary,primary-monthly-robustness-coverage,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,robustness,30,30,0,0,-0.0058264246277183483279503167023904923701817132486168522270259,-0.00000225258301588798180979807186107627776151850650447347527610485,0.0704452194256169500580939946830089074062852991545247676564155,empirical net performance; outside current safety theorem; no confirmatory inference
historical-registered-robustness-v1,historical,robustness,primary,primary-monthly-robustness-coverage,proportional-10bps,net of proportional costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,robustness,30,30,0,0,-0.047154785304438691852360611058873620293223998201502975625775,-0.000335296308741979718643222668975162845933007812058919288534738,0.149956233014995522829810933189137638479192474859192982775639,empirical net performance; outside current safety theorem; no confirmatory inference
historical-registered-robustness-v1,historical,robustness,robustness,robustness-quarterly-horizons,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,robustness,48,48,0,0,-0.235075766571634467757318992674998842019735778297839869165716,-0.000260461231872775506062548289954800874844528803120233014190683,0.321903601670701276048263538009356369699086099034968124253114,empirical net performance; outside current safety theorem; no confirmatory inference
historical-registered-robustness-v1,historical,robustness,robustness,robustness-quarterly-horizons,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,robustness,48,40,0,8,-0.0922735335364238579281004001095640742995709938774489773729875,0.000570387035268059410690284994745938417918575049206855032811435,0.100047415683859270378598086393052361051048013918038074874702,empirical net performance; outside current safety theorem; no confirmatory inference
historical-registered-robustness-v1,historical,robustness,robustness,robustness-quarterly-horizons,fixed-1-usd,net of fixed costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,robustness,48,48,0,0,-0.157337866637114604669382910489754253827793037764474482343644,-0.000257693235492980968946523536311284185552888414232290750322536,0.27409995877491192794112878886626121241232646081589225925341,empirical net performance; outside current safety theorem; no confirmatory inference
historical-registered-robustness-v1,historical,robustness,robustness,robustness-quarterly-horizons,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,robustness,48,48,0,0,-0.234837322518537283320390581346667992574299858664162751540356,-0.000255373786543090413906274062685189900177533361042471668657526,0.321480047912710053698295435752272946139720173226486943175625,empirical net performance; outside current safety theorem; no confirmatory inference
historical-registered-robustness-v1,historical,robustness,robustness,robustness-quarterly-horizons,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,robustness,48,40,0,8,-0.092160524783441306203397302563940671101190076445767596141048,0.00060074618973507168838780983576326053393758448128338594521221,0.0999231276027825393620103936563146386705171668242512101382396,empirical net performance; outside current safety theorem; no confirmatory inference
historical-registered-robustness-v1,historical,robustness,robustness,robustness-quarterly-horizons,proportional-10bps,net of proportional costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,robustness,48,48,0,0,-0.15718006251389477562334613692342734328677550931074782832775,-0.000252693068027404970885711138442149688471046388604775280114198,0.273746935759910091243002047660198942000963869820568294581322,empirical net performance; outside current safety theorem; no confirmatory inference
stochastic-primary-v1,stochastic,exploratory,,,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,exploratory,45,17,0,28,-0.0120667139735708050258707630579557338392651192798313397217322,0.0120723347246250495639743921089036856435285086690450006529902,0.026524434626992238747032685702909633240311768044014403221218,empirical net performance; outside current safety theorem; no confirmatory inference
stochastic-primary-v1,stochastic,exploratory,,,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,exploratory,45,7,0,38,-0.000461175327533212693692397687145394420739370262046583866503133,0.00364529191742722672766555353345824478306300925511758319670023,0.00173713383935536087151255024533112595178804400992349065457947,empirical net performance; outside current safety theorem; no confirmatory inference
stochastic-primary-v1,stochastic,exploratory,,,fixed-1-usd,net of fixed costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,exploratory,45,21,0,24,-0.0137167334504002980080033902460818508276891588181710744530042,0.0113148509118805618900530760443529712563309516522786870032459,0.0269390503524358565994957391758298807574473132006776789326618,empirical net performance; outside current safety theorem; no confirmatory inference
stochastic-primary-v1,stochastic,exploratory,,,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,exploratory,45,17,0,28,-0.0119638480594824676447784607894501695249610029420800172260914,0.0121422013011262347917810329430060631466772149066696956144118,0.0264118139897362755257116262876950531115254096265744553549837,empirical net performance; outside current safety theorem; no confirmatory inference
stochastic-primary-v1,stochastic,exploratory,,,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,exploratory,45,7,0,38,-0.00046447423322673190324005109655975690652653052808660789601181,0.00363826429215336594957986506972852231902913651500904545191693,0.00175259209669451293193783266374941045450034509299763978912134,empirical net performance; outside current safety theorem; no confirmatory inference
stochastic-primary-v1,stochastic,exploratory,,,proportional-10bps,net of proportional costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,exploratory,45,21,0,24,-0.0136254504185393537666320055755198182646783102481013085658866,0.0113917413401099267657468816728963434895725715011887882688693,0.0268440483779848234367094907445831110741116778481070918595034,empirical net performance; outside current safety theorem; no confirmatory inference
stochastic-primary-v1,stochastic,primary,,,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,primary,45,33,0,12,-0.00896760013724311476797428488602432524542340826709909160730108,0.00204394797963036681876487961647189393980843510573464864964749,0.0164846654341214506570137678082396428673098813481513643941178,empirical net performance; outside current safety theorem; no confirmatory inference
stochastic-primary-v1,stochastic,primary,,,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,primary,45,12,0,33,-0.000301194940977215989940538900749600867960754645752979005490114,0.000803560914489236298913080111752933221546220344491446067158673,0.000707663128697848714927448259410016998891096177464494564733884,empirical net performance; outside current safety theorem; no confirmatory inference
stochastic-primary-v1,stochastic,primary,,,fixed-1-usd,net of fixed costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,primary,45,33,0,12,-0.00907324520536297770488296152469512733123054208935254778279962,0.00164844741778510268314544654004468268934665875123354577311516,0.0158109137707574416923145100923273479933201910681130259486504,empirical net performance; outside current safety theorem; no confirmatory inference
stochastic-primary-v1,stochastic,primary,,,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,primary,45,33,0,12,-0.00887397082146231889204397926623536578169284447224179481700009,0.00205870546701369452997394805544695012366816463075945353655388,0.016388966011827718998224960544751754167732336113813195945256,empirical net performance; outside current safety theorem; no confirmatory inference
stochastic-primary-v1,stochastic,primary,,,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,primary,45,12,0,33,-0.000297701645220485574368677407743563252488180736070699937198086,0.000805513602194045675699080204181303526623489991903399944175798,0.000699088564903156497677046983557299512329712467623927820862273,empirical net performance; outside current safety theorem; no confirmatory inference
stochastic-primary-v1,stochastic,primary,,,proportional-10bps,net of proportional costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,primary,45,33,0,12,-0.00898668001961835275296032511767476795922012945254057519719379,0.00166479821006209109369872179500853575847276931473430728560616,0.0157236502071606729214574253777472796030241721914330122119285,empirical net performance; outside current safety theorem; no confirmatory inference
